Gender,Customer,Age,Distance,Wifi,DepartureAndArrivalTimeConvenient,EaseOnlineBooking,GateLocation,FoodDrink,OnlineBoarding,SeatComfort,InflightEntertainment,OnboardService,LegRoom,BaggageHandling,Checkin,InflightService,Cleanliness,DepartureDelayMin,ArrivalDelayMin,Satisfaction
Male,Loyal Customer,52,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,satisfied
Female,Loyal Customer,36,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,neutral or dissatisfied
Female,Loyal Customer,58,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,53,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,neutral or dissatisfied
Female,disloyal Customer,26,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,20,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,neutral or dissatisfied
Male,Loyal Customer,25,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,satisfied
Male,Loyal Customer,15,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,neutral or dissatisfied
Female,disloyal Customer,28,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,neutral or dissatisfied
Male,disloyal Customer,18,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,neutral or dissatisfied
Female,Loyal Customer,67,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,neutral or dissatisfied
Female,Loyal Customer,30,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,satisfied
Female,Loyal Customer,61,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0,satisfied
Female,Loyal Customer,56,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0.0,satisfied
Female,Loyal Customer,45,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0.0,satisfied
